"age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","y","age_group"
36,"management","married","tertiary","no",27359,"yes","no","unknown",3,"jun",71,2,-1,0,"unknown","no","35-44"
57,"technician","married","tertiary","no",27069,"no","yes","unknown",20,"jun",174,3,-1,0,"unknown","no","55-64"
31,"housemaid","single","primary","no",26965,"no","no","cellular",21,"apr",654,2,-1,0,"unknown","yes","25-34"
58,"management","divorced","tertiary","no",26831,"no","no","cellular",11,"feb",56,18,-1,0,"unknown","no","55-64"
28,"technician","single","secondary","no",26765,"no","no","unknown",13,"may",210,8,-1,0,"unknown","no","25-34"
33,"management","married","tertiary","no",26721,"no","no","cellular",5,"feb",435,3,-1,0,"unknown","no","25-34"
34,"management","single","tertiary","no",26575,"no","no","cellular",18,"nov",93,1,-1,0,"unknown","no","25-34"
34,"management","single","tertiary","no",26575,"no","no","cellular",5,"may",245,6,168,1,"failure","no","25-34"
75,"retired","married","secondary","no",26452,"no","no","telephone",15,"jul",219,2,-1,0,"unknown","no","65+"
50,"services","married","secondary","no",26394,"no","no","cellular",25,"aug",206,4,-1,0,"unknown","no","45-54"
53,"management","divorced","tertiary","no",26306,"yes","no","cellular",19,"nov",67,3,-1,0,"unknown","no","45-54"
54,"management","divorced","tertiary","no",26306,"yes","no","cellular",11,"feb",27,1,84,3,"failure","no","45-54"
55,"management","divorced","tertiary","no",26306,"yes","no","cellular",23,"sep",84,1,589,4,"failure","no","45-54"
58,"management","divorced","tertiary","no",26254,"yes","no","unknown",21,"oct",49,1,-1,0,"unknown","no","55-64"
58,"management","divorced","tertiary","no",26254,"yes","no","cellular",21,"nov",53,1,31,1,"failure","no","55-64"
39,"admin.","married","secondary","no",26233,"no","no","cellular",2,"oct",462,1,-1,0,"unknown","no","35-44"
59,"housemaid","single","secondary","no",26172,"no","no","cellular",18,"nov",54,2,-1,0,"unknown","no","55-64"
59,"retired","married","secondary","no",25947,"no","no","cellular",13,"aug",292,2,-1,0,"unknown","no","55-64"
51,"management","married","tertiary","no",25856,"no","no","cellular",14,"aug",129,2,-1,0,"unknown","no","45-54"
49,"retired","single","primary","no",25824,"no","no","unknown",17,"jun",94,1,-1,0,"unknown","no","45-54"
43,"admin.","married","secondary","no",25741,"yes","no","unknown",30,"may",464,2,-1,0,"unknown","no","35-44"
56,"management","married","tertiary","no",25290,"no","no","cellular",31,"jul",81,12,-1,0,"unknown","no","55-64"
46,"entrepreneur","married","tertiary","no",25204,"yes","yes","cellular",6,"may",72,1,-1,0,"unknown","no","45-54"
31,"management","single","tertiary","no",24870,"yes","no","unknown",21,"may",634,2,-1,0,"unknown","no","25-34"
42,"management","married","tertiary","no",24780,"no","no","cellular",6,"aug",184,2,-1,0,"unknown","no","35-44"
45,"management","divorced","tertiary","no",24598,"yes","no","unknown",5,"may",313,3,-1,0,"unknown","no","35-44"
46,"management","divorced","tertiary","no",24598,"yes","no","cellular",14,"may",118,4,374,3,"failure","no","45-54"
47,"admin.","married","secondary","no",24556,"no","no","telephone",20,"oct",309,1,-1,0,"unknown","no","45-54"
57,"management","married","tertiary","no",24498,"no","no","cellular",21,"nov",161,5,-1,0,"unknown","no","55-64"
40,"management","married","tertiary","no",24450,"no","no","cellular",25,"aug",73,2,-1,0,"unknown","no","35-44"
47,"management","married","tertiary","no",24312,"yes","no","cellular",29,"jul",187,3,-1,0,"unknown","no","45-54"
26,"technician","single","secondary","no",24299,"yes","no","unknown",13,"may",704,1,-1,0,"unknown","no","25-34"
39,"blue-collar","single","primary","no",24277,"no","no","cellular",28,"aug",261,1,-1,0,"unknown","yes","35-44"
41,"technician","divorced","tertiary","no",24055,"no","yes","unknown",20,"jun",132,1,-1,0,"unknown","no","35-44"
27,"student","single","tertiary","no",24025,"no","no","cellular",21,"oct",99,1,-1,0,"unknown","no","25-34"
34,"technician","single","tertiary","no",23919,"no","no","cellular",12,"aug",384,2,-1,0,"unknown","no","25-34"
49,"self-employed","married","tertiary","no",23917,"no","no","cellular",11,"aug",51,4,-1,0,"unknown","no","45-54"
24,"student","single","secondary","no",23878,"no","no","cellular",18,"feb",185,1,-1,0,"unknown","yes","<25"
24,"student","single","secondary","no",23878,"no","no","cellular",26,"may",133,1,97,1,"success","yes","<25"
35,"technician","married","secondary","no",23876,"no","no","cellular",18,"aug",191,2,-1,0,"unknown","no","25-34"
37,"management","single","tertiary","no",23867,"no","no","unknown",20,"may",188,3,-1,0,"unknown","no","35-44"
32,"housemaid","single","tertiary","no",23663,"yes","no","cellular",21,"nov",103,2,-1,0,"unknown","no","25-34"
33,"housemaid","single","tertiary","no",23663,"yes","no","cellular",16,"apr",199,2,146,2,"failure","no","25-34"
69,"services","married",NA,"no",23592,"no","no","cellular",3,"jul",837,3,-1,0,"unknown","no","65+"
52,"management","married","tertiary","no",23552,"yes","no","cellular",12,"may",507,1,-1,0,"unknown","no","45-54"
48,"technician","married","secondary","no",23495,"no","no","cellular",22,"aug",63,8,-1,0,"unknown","no","45-54"
26,"unemployed","single","tertiary","no",23494,"no","no","cellular",3,"feb",136,1,-1,0,"unknown","no","25-34"
65,"retired","married","secondary","no",23421,"no","no","cellular",2,"feb",432,1,-1,0,"unknown","no","55-64"
55,"management","married","tertiary","no",23189,"yes","no","unknown",14,"may",77,1,-1,0,"unknown","no","45-54"
34,"technician","married","tertiary","no",23076,"no","no","cellular",26,"may",243,2,35,6,"other","yes","25-34"
63,"retired","married","secondary","no",23047,"no","no","cellular",17,"jun",530,1,139,2,"other","no","55-64"
56,"entrepreneur","divorced","tertiary","no",22946,"no","no","unknown",17,"jun",75,3,-1,0,"unknown","no","55-64"
45,"blue-collar","married","secondary","no",22928,"no","no","unknown",6,"jun",113,1,-1,0,"unknown","no","35-44"
31,"management","married","tertiary","no",22867,"yes","no","unknown",27,"may",241,2,-1,0,"unknown","no","25-34"
33,"management","married","tertiary","no",22867,"yes","no","cellular",10,"aug",73,1,440,2,"failure","no","25-34"
33,"management","married","tertiary","no",22867,"yes","no","cellular",10,"nov",266,2,92,3,"failure","yes","25-34"
33,"management","married","tertiary","no",22867,"yes","no","cellular",10,"feb",165,1,92,5,"success","no","25-34"
36,"management","married","primary","no",22856,"no","no","unknown",9,"jun",1098,1,-1,0,"unknown","no","35-44"
37,"management","married","primary","no",22856,"no","no","cellular",2,"jul",154,1,388,1,"failure","no","35-44"
45,"management","married","tertiary","no",22815,"no","no","cellular",26,"aug",653,8,-1,0,"unknown","no","35-44"
52,"technician","married","secondary","no",22755,"yes","no","unknown",29,"may",70,2,-1,0,"unknown","no","45-54"
35,"management","married","tertiary","no",22569,"yes","no","cellular",21,"nov",72,4,-1,0,"unknown","no","25-34"
51,"management","married","tertiary","no",22557,"yes","no","telephone",23,"jul",71,3,-1,0,"unknown","no","45-54"
31,"management","married","tertiary","no",22546,"yes","no","cellular",20,"aug",88,4,-1,0,"unknown","no","25-34"
31,"management","married","tertiary","no",22546,"yes","no","cellular",14,"may",8,6,267,4,"failure","no","25-34"
49,"management","married","tertiary","no",22520,"no","no","cellular",21,"nov",579,9,-1,0,"unknown","yes","45-54"
46,"management","married","tertiary","no",22452,"yes","no","cellular",20,"nov",284,1,-1,0,"unknown","no","45-54"
53,"entrepreneur","married","tertiary","no",22370,"yes","no","unknown",15,"may",106,1,-1,0,"unknown","no","45-54"
37,"blue-collar","married","secondary","no",22341,"yes","no","cellular",17,"nov",175,1,-1,0,"unknown","no","35-44"
56,"services","married","secondary","no",22196,"yes","no","cellular",21,"nov",189,1,-1,0,"unknown","no","55-64"
28,"admin.","married","secondary","no",22171,"yes","no","unknown",28,"may",85,3,-1,0,"unknown","no","25-34"
29,"admin.","married","secondary","no",22171,"yes","no","cellular",18,"may",44,1,355,3,"failure","no","25-34"
37,"management","single","tertiary","no",22125,"no","yes","cellular",21,"nov",331,2,-1,0,"unknown","yes","35-44"
39,"admin.","single","tertiary","no",22086,"no","no","cellular",4,"jun",160,1,-1,0,"unknown","yes","35-44"
60,"retired","married","primary","no",22018,"no","no","unknown",6,"jun",177,2,-1,0,"unknown","no","55-64"
29,"technician","single","secondary","no",22008,"yes","no","unknown",28,"may",139,2,-1,0,"unknown","no","25-34"
38,"management","single","tertiary","no",21963,"no","no","telephone",18,"jul",70,2,-1,0,"unknown","no","35-44"
42,"self-employed","married","tertiary","no",21861,"no","no","unknown",5,"jun",486,2,-1,0,"unknown","no","35-44"
33,"admin.","single","secondary","no",21854,"yes","no","cellular",20,"nov",215,2,-1,0,"unknown","no","25-34"
56,"management","married","tertiary","no",21664,"no","no","unknown",17,"jun",214,8,-1,0,"unknown","no","55-64"
51,"blue-collar","married","primary","no",21614,"no","no","cellular",29,"aug",47,20,-1,0,"unknown","no","45-54"
51,"management","married","tertiary","no",21574,"no","no","unknown",6,"jun",197,3,-1,0,"unknown","no","45-54"
53,"blue-collar","married","secondary","no",21522,"no","no","unknown",24,"jun",146,4,-1,0,"unknown","no","45-54"
53,"blue-collar","married","secondary","no",21522,"no","no","cellular",20,"nov",83,3,149,4,"failure","no","45-54"
41,"admin.","married","secondary","no",21515,"yes","no","unknown",5,"jun",87,1,-1,0,"unknown","no","35-44"
43,"management","married","tertiary","no",21510,"no","no","cellular",8,"aug",248,2,-1,0,"unknown","no","35-44"
69,"retired","married","secondary","no",21446,"no","no","telephone",15,"apr",358,2,-1,0,"unknown","no","65+"
60,"management","married","primary","no",21292,"no","no","unknown",16,"jun",242,6,-1,0,"unknown","no","55-64"
51,"housemaid","married",NA,"no",21244,"no","yes","cellular",4,"aug",166,2,-1,0,"unknown","no","45-54"
39,"management","married","tertiary","no",21111,"yes","no","unknown",26,"may",695,4,-1,0,"unknown","no","35-44"
33,"management","single","tertiary","no",21096,"yes","no","unknown",2,"jun",144,2,-1,0,"unknown","no","25-34"
60,"management","married","tertiary","no",21088,"yes","no","cellular",26,"may",187,1,-1,0,"unknown","no","55-64"
45,"management","married","tertiary","no",21024,"yes","no","cellular",20,"apr",73,4,-1,0,"unknown","no","35-44"
39,"management","married","tertiary","no",20932,"no","no","cellular",21,"nov",127,2,-1,0,"unknown","no","35-44"
39,"services","married","secondary","no",20928,"no","no","cellular",14,"may",1166,1,352,1,"other","no","35-44"
65,"retired","married","secondary","no",20806,"no","no","telephone",8,"apr",523,2,-1,0,"unknown","yes","55-64"
59,"management","married","tertiary","no",20798,"yes","no","cellular",21,"nov",9,7,-1,0,"unknown","no","55-64"
33,"management","single","tertiary","no",20794,"no","no","cellular",20,"aug",226,5,-1,0,"unknown","no","25-34"
53,"management","married","tertiary","no",20772,"no","no","cellular",4,"feb",715,1,-1,0,"unknown","no","45-54"
49,"management","divorced","tertiary","no",20727,"no","no","cellular",20,"nov",88,2,-1,0,"unknown","no","45-54"
49,"management","divorced","tertiary","no",20727,"no","no","cellular",1,"apr",285,3,132,2,"failure","no","45-54"
68,"retired","married","secondary","no",20723,"yes","no","cellular",28,"apr",318,2,-1,0,"unknown","no","65+"
48,"management","married","tertiary","no",20718,"yes","no","unknown",14,"may",125,1,-1,0,"unknown","no","45-54"
33,"management","single","secondary","no",20600,"no","no","cellular",20,"nov",125,1,-1,0,"unknown","no","25-34"
27,"management","single","tertiary","no",20585,"no","no","cellular",15,"jun",188,1,-1,0,"unknown","yes","25-34"
27,"management","single","tertiary","no",20585,"no","no","cellular",23,"sep",299,1,100,1,"success","yes","25-34"
57,"entrepreneur","married",NA,"no",20584,"no","no","telephone",31,"jul",28,2,-1,0,"unknown","no","55-64"
30,"management","single","tertiary","no",20580,"yes","no","cellular",21,"nov",116,2,-1,0,"unknown","no","25-34"
44,"services","divorced","secondary","no",20541,"no","yes","unknown",18,"jun",501,2,-1,0,"unknown","no","35-44"
54,"entrepreneur","divorced","tertiary","no",20527,"no","no","telephone",20,"nov",66,1,-1,0,"unknown","no","45-54"
41,"management","divorced","tertiary","no",20479,"no","no","cellular",14,"aug",229,2,-1,0,"unknown","no","35-44"
37,"entrepreneur","single","secondary","no",20453,"yes","no","telephone",4,"may",115,1,-1,0,"unknown","no","35-44"
36,"self-employed","single","secondary","no",20451,"no","no","cellular",20,"nov",69,3,-1,0,"unknown","no","35-44"
74,"retired","married","tertiary","no",20422,"no","no","cellular",12,"aug",90,2,-1,0,"unknown","no","65+"
30,"management","single","tertiary","no",20261,"yes","no","cellular",28,"aug",81,10,-1,0,"unknown","no","25-34"
45,"housemaid","married","secondary","no",20187,"yes","no","cellular",17,"nov",707,1,-1,0,"unknown","no","35-44"
44,"entrepreneur","divorced","tertiary","no",20179,"yes","yes","cellular",21,"nov",163,1,-1,0,"unknown","no","35-44"
45,"entrepreneur","married","tertiary","no",20138,"yes","no","cellular",20,"nov",871,5,-1,0,"unknown","yes","35-44"
32,"admin.","married","secondary","no",20011,"no","no","cellular",20,"apr",234,1,-1,0,"unknown","no","25-34"
32,"management","single","tertiary","no",19985,"no","no","cellular",9,"feb",616,5,-1,0,"unknown","no","25-34"
53,"entrepreneur","married",NA,"no",19850,"no","no","unknown",6,"jun",86,1,-1,0,"unknown","no","45-54"
53,"entrepreneur","married",NA,"no",19850,"no","no","cellular",18,"nov",52,1,165,1,"failure","no","45-54"
34,"blue-collar","single","secondary","no",19833,"yes","no","cellular",30,"jan",84,4,252,1,"other","no","25-34"
52,"management","married","tertiary","no",19797,"yes","no","unknown",2,"jun",966,3,-1,0,"unknown","no","45-54"
30,"management","single","tertiary","no",19796,"no","no","cellular",20,"nov",41,1,-1,0,"unknown","no","25-34"
45,"unknown","married",NA,"no",19706,"yes","no","cellular",3,"feb",419,3,-1,0,"unknown","no","35-44"
23,"unemployed","single","secondary","no",19690,"no","no","cellular",3,"jul",473,1,-1,0,"unknown","no","<25"
60,"blue-collar","married","secondary","no",19447,"yes","no","telephone",9,"jul",196,1,-1,0,"unknown","no","55-64"
50,"management","married","tertiary","no",19447,"yes","yes","cellular",21,"nov",166,1,-1,0,"unknown","no","45-54"
34,"management","married","tertiary","no",19391,"no","no","cellular",20,"nov",391,2,-1,0,"unknown","no","25-34"
30,"management","single","tertiary","no",19358,"no","no","cellular",19,"nov",258,2,-1,0,"unknown","no","25-34"
34,"technician","single","secondary","no",19348,"yes","no","cellular",8,"aug",316,2,-1,0,"unknown","no","25-34"
40,"services","single","secondary","no",19343,"yes","no","unknown",26,"may",168,4,-1,0,"unknown","no","35-44"
40,"services","single","secondary","no",19343,"yes","no","cellular",21,"nov",13,4,179,4,"failure","no","35-44"
68,"retired","married","secondary","no",19317,"yes","no","cellular",4,"aug",249,1,-1,0,"unknown","yes","65+"
51,"management","married","tertiary","no",19313,"no","no","telephone",21,"nov",36,1,-1,0,"unknown","no","45-54"
57,"unknown","married",NA,"no",19268,"no","no","unknown",23,"oct",301,1,-1,0,"unknown","yes","55-64"
54,"admin.","married","secondary","no",19213,"no","no","cellular",12,"aug",100,6,-1,0,"unknown","no","45-54"
59,"unemployed","married","primary","no",19102,"no","no","cellular",5,"feb",462,1,-1,0,"unknown","no","55-64"
60,"retired","married","secondary","no",18967,"yes","no","cellular",29,"jan",177,2,-1,0,"unknown","yes","55-64"
53,"management","married","tertiary","no",18931,"no","no","cellular",5,"aug",224,1,86,23,"other","no","45-54"
49,"entrepreneur","married","tertiary","no",18904,"yes","no","unknown",2,"jun",113,3,-1,0,"unknown","no","45-54"
44,"unknown","single",NA,"no",18881,"no","no","cellular",2,"dec",187,2,-1,0,"unknown","no","35-44"
34,"technician","single","secondary","no",18777,"yes","no","cellular",18,"nov",535,1,-1,0,"unknown","no","25-34"
55,"retired","married","secondary","no",18722,"yes","no","unknown",12,"may",128,2,-1,0,"unknown","no","45-54"
44,"self-employed","single","tertiary","no",18558,"yes","no","cellular",20,"nov",51,1,190,4,"other","no","35-44"
39,"technician","single","secondary","no",18508,"no","no","cellular",20,"nov",1598,4,-1,0,"unknown","yes","35-44"
33,"management","married",NA,"no",18347,"yes","no","unknown",23,"may",415,1,-1,0,"unknown","no","25-34"
57,"admin.","divorced","secondary","no",18268,"yes","no","cellular",19,"nov",68,1,-1,0,"unknown","no","55-64"
29,"technician","single","tertiary","no",18254,"no","no","cellular",11,"may",279,2,-1,0,"unknown","no","25-34"
27,"admin.","single","secondary","no",18188,"yes","no","unknown",12,"jun",541,17,-1,0,"unknown","yes","25-34"
35,"management","single","tertiary","no",18111,"no","no","cellular",14,"aug",172,4,-1,0,"unknown","yes","25-34"
63,"retired","married","secondary","no",18016,"no","no","cellular",7,"jul",371,1,-1,0,"unknown","yes","55-64"
36,"blue-collar","married",NA,"no",17983,"yes","no","unknown",20,"may",100,1,-1,0,"unknown","no","35-44"
47,"management","divorced","tertiary","no",17964,"yes","no","unknown",3,"jun",165,2,-1,0,"unknown","no","45-54"
48,"management","divorced","tertiary","no",17964,"yes","no","cellular",26,"may",208,2,96,3,"other","yes","45-54"
48,"management","divorced","tertiary","no",17964,"yes","no","cellular",1,"sep",120,1,98,5,"success","yes","45-54"
48,"admin.","married","secondary","no",17957,"no","no","unknown",18,"jun",700,7,-1,0,"unknown","no","45-54"
33,"management","married","tertiary","no",17946,"yes","no","unknown",23,"may",256,1,-1,0,"unknown","no","25-34"
33,"management","married","tertiary","no",17946,"yes","no","cellular",6,"feb",195,5,259,1,"failure","no","25-34"
33,"management","married","tertiary","no",17946,"yes","no","cellular",4,"may",15,4,87,6,"failure","no","25-34"
34,"blue-collar","married","primary","no",17946,"yes","no","cellular",6,"may",258,9,-1,0,"unknown","no","25-34"
31,"self-employed","single","tertiary","no",17924,"yes","no","cellular",21,"nov",608,3,-1,0,"unknown","no","25-34"
31,"self-employed","single","tertiary","no",17924,"yes","no","cellular",14,"may",745,1,174,3,"failure","yes","25-34"
26,"blue-collar","single","secondary","no",17891,"yes","no","unknown",3,"jun",239,1,-1,0,"unknown","no","25-34"
64,"retired","divorced","tertiary","no",17875,"no","no","cellular",25,"aug",173,1,-1,0,"unknown","no","55-64"
59,"retired","married","secondary","no",17769,"no","no","cellular",19,"nov",322,3,-1,0,"unknown","no","55-64"
44,"unemployed","married","tertiary","no",17747,"yes","no","cellular",5,"feb",8,7,-1,0,"unknown","no","35-44"
72,"retired","married","secondary","no",17739,"no","no","cellular",11,"sep",135,4,-1,0,"unknown","no","65+"
34,"blue-collar","married","tertiary","no",17672,"no","no","cellular",20,"nov",548,1,-1,0,"unknown","no","25-34"
43,"technician","married","secondary","no",17655,"yes","no","cellular",18,"nov",31,1,-1,0,"unknown","no","35-44"
45,"unemployed","single","secondary","no",17609,"no","no","cellular",9,"feb",222,6,-1,0,"unknown","no","35-44"
43,"management","married","secondary","no",17555,"no","no","cellular",26,"aug",14,14,-1,0,"unknown","no","35-44"
36,"unemployed","married","secondary","no",17458,"no","no","cellular",23,"sep",390,2,-1,0,"unknown","no","35-44"
33,"technician","married","tertiary","no",17455,"yes","yes","unknown",23,"may",343,4,-1,0,"unknown","no","25-34"
33,"technician","married","tertiary","no",17455,"yes","yes","cellular",18,"nov",168,3,179,4,"failure","no","25-34"
39,"technician","divorced","secondary","no",17441,"yes","yes","cellular",7,"apr",1,1,-1,0,"unknown","no","35-44"
49,"management","married","tertiary","no",17432,"no","no","cellular",17,"nov",102,1,-1,0,"unknown","no","45-54"
51,"unemployed","married","secondary","no",17418,"yes","no","telephone",30,"jan",237,2,-1,0,"unknown","no","45-54"
60,"retired","married","primary","no",17413,"no","no","unknown",9,"jun",200,1,-1,0,"unknown","no","55-64"
53,"entrepreneur","married","tertiary","no",17410,"no","no","cellular",31,"jul",59,6,-1,0,"unknown","no","45-54"
44,"management","married","tertiary","no",17361,"no","no","unknown",18,"jun",476,1,-1,0,"unknown","no","35-44"
60,"self-employed","married","secondary","no",17339,"no","no","unknown",20,"jun",50,11,-1,0,"unknown","no","55-64"
